fighter_name,Height,Weight,Reach,Stance,DOB
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,20-Jun-87
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,30-Mar-80
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,9-Jun-89
Bill Cooper,,155 lbs.,,,5-May-84
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,
Bill Mahood,"6' 3""",200 lbs.,,Orthodox,1-Feb-67
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,7-Oct-80
Billy Giovanella,"5' 8""",125 lbs.,,,20-Aug-85
Billy Miles,"5' 10""",170 lbs.,,Orthodox,28-Apr-78
Billy Quarantillo,"5' 10""",155 lbs.,,,
Billy Vaughan,"5' 6""",155 lbs.,,,2-Dec-83
Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,9-Oct-86
Blair Tugman,"6' 0""",135 lbs.,,,
Blake Bowman,"6' 2""",170 lbs.,,,
Blake Watkins,,185 lbs.,,,
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,30-Jun-83
Bo Cantrell,"6' 2""",235 lbs.,,Orthodox,8-Feb-69
Bob Cook,"5' 9""",170 lbs.,,Orthodox,
Bob Gilstrap,"6' 3""",200 lbs.,,Orthodox,
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,22-Sep-74
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,
Bobby Cooper,"6' 1""",155 lbs.,,,
Bobby Escalante,,130 lbs.,,,
Bobby Flynn,,170 lbs.,,,
Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,9-Sep-86
Bobby Hoffman,"6' 2""",245 lbs.,,Orthodox,28-Oct-68
Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,16-Jul-76
Bobby McAndrews,,,,Orthodox,
Bobby Moffett,"5' 10""",145 lbs.,"74""",Orthodox,1-Jun-90
Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,26-Mar-90
Bobby Sanchez,"5' 7""",155 lbs.,,Orthodox,
Bobby Southworth,"6' 2""",205 lbs.,,Orthodox,16-Dec-69
Bobby Stack,"5' 9""",155 lbs.,,Orthodox,
Bobby Voelker,"6' 0""",170 lbs.,"75""",Orthodox,26-Apr-79
Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,30-Mar-80
Bojan Velickovic,"6' 0""",170 lbs.,"76""",Southpaw,18-Dec-88
Booker DeRousse,"6' 2""",205 lbs.,,,23-Mar-81
Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,20-Nov-90
Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,25-May-77
Brad Gumm,"5' 11""",170 lbs.,,Orthodox,
Brad Imes,"6' 7""",265 lbs.,,Orthodox,13-Mar-77
Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,19-Dec-91
Brad Kohler,"5' 9""",220 lbs.,,Orthodox,26-May-64
Brad Mitchell,"5' 11""",145 lbs.,,,10-Oct-74
Brad Morris,"6' 2""",205 lbs.,,Orthodox,1-Nov-79
Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,24-Sep-78
Brad Royster,,135 lbs.,,,
Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,21-Dec-87
Bradley Scott,"6' 1""",170 lbs.,"76""",,24-Jun-89
Brady Fink,"6' 0""",183 lbs.,,Orthodox,
Branden Lee Hinkle,"6' 3""",235 lbs.,,Orthodox,29-Jul-73
Brandon Cash,"6' 5""",255 lbs.,,Orthodox,
Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,8-May-90
Brandon Foxworth,"5' 11""",145 lbs.,,Orthodox,28-Apr-79
Brandon Gaines,"6' 3""",185 lbs.,,,
Brandon Girtz,"5' 7""",155 lbs.,,,6-Mar-85
Brandon Halsey,"6' 0""",185 lbs.,,,16-Sep-86
Brandon Hester,"6' 1""",205 lbs.,,,
Brandon Lowe,,155 lbs.,,,
Brandon Magana,,170 lbs.,,Orthodox,
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,24-Mar-83
Brandon Michaels,"5' 9""",185 lbs.,,,
Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,7-Dec-93
Brandon Polcare,,125 lbs.,,,
